country,year,cohd,pua,nua,income
Afghanistan,2019,0.00,0.00,0.00,1
Burkina Faso,2019,2.73,58.80,12.30,1
Burundi,2019,3.11,87.20,10.40,1
Central African Republic,2019,3.08,85.70,4.50,1
Chad,2019,2.59,57.10,9.20,1
Democratic People's Republic of Korea,2019,0.00,0.00,0.00,1
Democratic Republic of the Congo,2019,3.52,93.10,83.70,1
Eritrea,2019,0.00,0.00,0.00,1
Ethiopia,2019,2.99,54.50,62.20,1
Gambia,2019,2.75,40.60,1.00,1
Guinea-Bissau,2019,3.11,58.90,1.20,1
Liberia,2019,3.18,66.00,3.30,1
Madagascar,2019,3.20,92.70,25.50,1
Malawi,2019,2.70,87.10,16.40,1
Mali,2019,2.93,47.80,9.80,1
Mozambique,2019,2.84,86.50,26.20,1
Niger,2019,3.15,83.20,19.50,1
Rwanda,2019,3.01,74.90,9.60,1
Sierra Leone,2019,2.70,58.20,4.70,1
Somalia,2019,0.00,0.00,0.00,1
South Sudan,2019,0.00,0.00,0.00,1
Sudan,2019,2.96,56.70,24.50,1
Syrian Arab Republic,2019,0.00,0.00,0.00,1
Togo,2019,2.52,50.20,4.10,1
Uganda,2019,3.04,72.10,31.00,1
Yemen,2019,0.00,0.00,0.00,1
Angola,2019,3.46,66.80,21.60,2
Bangladesh,2019,3.18,58.50,96.80,2
Benin,2019,2.93,63.20,7.80,2
Bhutan,2019,4.38,18.00,0.10,2
Bolivia (Plurinational State of),2019,3.72,9.60,1.10,2
Cabo Verde,2019,3.32,27.30,0.20,2
Cambodia,2019,3.89,0.00,0.00,2
Cameroon,2019,2.70,52.50,13.50,2
Comoros,2019,0.00,0.00,0.00,2
Congo,2019,3.04,74.80,4.20,2
Côte d'Ivoire,2019,2.63,46.70,12.20,2
Djibouti,2019,2.98,52.50,0.60,2
Egypt,2019,3.88,49.40,52.20,2
Eswatini,2019,3.33,67.00,0.80,2
Ghana,2019,3.62,62.70,19.80,2
Guinea,2019,2.48,36.10,4.60,2
Haiti,2019,4.28,79.40,8.90,2
Honduras,2019,3.68,38.70,3.90,2
India,2019,2.92,57.10,789.30,2
Jordan,2019,3.01,12.90,1.40,2
Kenya,2019,2.85,73.70,37.50,2
Kiribati,2019,0.00,0.00,0.00,2
Kyrgyzstan,2019,3.25,31.00,2.00,2
Lao People's Democratic Republic,2019,3.99,56.90,4.10,2
Lebanon,2019,1.53,0.00,0.00,2
Lesotho,2019,3.74,72.10,1.60,2
Mauritania,2019,3.95,50.40,2.20,2
Micronesia (Federated States of),2019,0.00,0.00,0.00,2
Morocco,2019,2.65,11.70,4.30,2
Myanmar,2019,3.86,43.50,23.10,2
Nepal,2019,3.41,43.50,12.50,2
Nicaragua,2019,3.77,29.20,1.90,2
Nigeria,2019,3.12,76.00,154.50,2
Pakistan,2019,2.97,58.10,129.70,2
Palestine,2019,2.74,5.50,0.30,2
Papua New Guinea,2019,0.00,0.00,0.00,2
Philippines,2019,3.57,45.70,50.40,2
Samoa,2019,0.00,0.00,0.00,2
Sao Tome and Principe,2019,2.48,48.80,0.10,2
Senegal,2019,2.77,47.10,7.50,2
Solomon Islands,2019,0.00,0.00,0.00,2
Sri Lanka,2019,3.54,28.50,6.20,2
Tajikistan,2019,3.29,33.90,3.20,2
Timor-Leste,2019,0.00,0.00,0.00,2
Tunisia,2019,3.82,6.90,0.80,2
United Republic of Tanzania,2019,2.27,75.10,45.00,2
Uzbekistan,2019,4.48,16.40,5.40,2
Vanuatu,2019,0.00,0.00,0.00,2
Viet Nam,2019,3.30,8.50,8.10,2
Zambia,2019,2.88,79.00,14.50,2
Zimbabwe,2019,0.00,0.00,0.00,2
Albania,2019,3.32,15.30,0.40,3
Algeria,2019,4.10,16.40,7.00,3
Argentina,2019,0.00,0.00,0.00,3
Armenia,2019,3.36,53.30,1.50,3
Azerbaijan,2019,3.00,0.70,0.10,3
Belarus,2019,3.26,2.40,0.20,3
Belize,2019,2.60,62.80,0.20,3
Bosnia and Herzegovina,2019,4.34,5.60,0.20,3
Botswana,2019,3.10,61.30,1.50,3
Brazil,2019,3.30,26.30,55.70,3
"China, mainland",2019,2.91,22.00,313.10,3
Colombia,2019,2.95,32.70,16.40,3
Costa Rica,2019,3.67,15.20,0.80,3
Cuba,2019,0.00,0.00,0.00,3
Dominica,2019,4.56,0.00,0.00,3
Dominican Republic,2019,3.54,21.80,2.40,3
Ecuador,2019,2.56,24.80,4.30,3
El Salvador,2019,0.00,0.00,0.00,3
Equatorial Guinea,2019,3.79,0.00,0.00,3
Fiji,2019,3.46,52.60,0.50,3
Gabon,2019,3.38,33.10,0.70,3
Georgia,2019,0.00,0.00,0.00,3
Grenada,2019,4.72,18.80,0.10,3
Guatemala,2019,2.73,45.60,7.80,3
Indonesia,2019,3.83,47.10,127.10,3
Iran (Islamic Republic of),2019,3.64,14.60,12.60,3
Iraq,2019,3.54,21.90,9.10,3
Jamaica,2019,5.29,18.20,0.50,3
Kazakhstan,2019,2.24,6.90,1.30,3
Libya,2019,0.00,0.00,0.00,3
Malaysia,2019,3.16,2.60,0.90,3
Maldives,2019,3.53,2.10,0.10,3
Marshall Islands,2019,0.00,0.00,0.00,3
Mauritius,2019,3.56,13.30,0.20,3
Mexico,2019,2.98,24.60,30.80,3
Mongolia,2019,4.54,24.50,0.80,3
Montenegro,2019,3.49,15.60,0.10,3
Namibia,2019,3.41,58.50,1.40,3
North Macedonia,2019,3.48,19.70,0.40,3
Paraguay,2019,3.78,22.00,1.40,3
Peru,2019,3.30,28.90,9.50,3
Republic of Moldova,2019,2.57,9.50,0.30,3
Saint Lucia,2019,3.71,8.60,0.10,3
Saint Vincent and the Grenadines,2019,4.51,0.00,0.00,3
Serbia,2019,3.84,13.10,1.00,3
South Africa,2019,3.12,60.40,35.10,3
Suriname,2019,4.75,18.90,0.10,3
Thailand,2019,4.25,19.60,14.00,3
Tonga,2019,0.00,0.00,0.00,3
Türkiye,2019,3.87,14.70,12.30,3
Turkmenistan,2019,0.00,0.00,0.00,3
Tuvalu,2019,0.00,0.00,0.00,3
Ukraine,2019,0.00,0.00,0.00,3
American Samoa,2019,0.00,0.00,0.00,4
Andorra,2019,0.00,0.00,0.00,4
Antigua and Barbuda,2019,4.20,0.00,0.00,4
Aruba,2019,3.97,0.00,0.00,4
Australia,2019,2.40,3.20,0.80,4
Austria,2019,2.19,2.70,0.20,4
Bahamas,2019,4.36,0.00,0.00,4
Bahrain,2019,3.25,0.00,0.00,4
Barbados,2019,0.00,0.00,0.00,4
Belgium,2019,2.16,1.30,0.20,4
Bermuda,2019,2.78,0.00,0.00,4
British Virgin Islands,2019,3.59,0.00,0.00,4
Brunei Darussalam,2019,4.17,0.00,0.00,4
Bulgaria,2019,3.66,7.80,0.60,4
Canada,2019,3.19,2.70,1.00,4
Cayman Islands,2019,3.32,0.00,0.00,4
Chile,2019,3.66,46.00,8.80,4
"China, Hong Kong SAR",2019,3.93,0.00,0.00,4
"China, Macao SAR",2019,0.00,0.00,0.00,4
"China, Taiwan Province of",2019,0.00,0.00,0.00,4
Croatia,2019,3.44,19.00,0.80,4
Curaçao,2019,3.31,0.00,0.00,4
Cyprus,2019,3.04,2.60,0.10,4
Czechia,2019,2.97,3.70,0.40,4
Denmark,2019,2.34,1.00,0.10,4
Estonia,2019,3.35,8.20,0.10,4
Finland,2019,2.72,0.70,0.10,4
France,2019,2.83,3.40,2.20,4
French Polynesia,2019,0.00,0.00,0.00,4
Germany,2019,2.87,2.00,1.70,4
Greece,2019,3.10,24.60,2.60,4
Greenland,2019,0.00,0.00,0.00,4
Guyana,2019,4.83,39.20,0.30,4
Hungary,2019,3.60,26.40,2.60,4
Iceland,2019,2.52,0.60,0.10,4
Ireland,2019,2.30,1.60,0.10,4
Israel,2019,2.60,19.50,1.70,4
Italy,2019,3.01,8.60,5.10,4
Japan,2019,5.57,7.20,9.00,4
Kuwait,2019,2.25,0.00,0.00,4
Latvia,2019,3.19,18.10,0.30,4
Lithuania,2019,3.04,13.10,0.40,4
Luxembourg,2019,2.62,1.20,0.10,4
Malta,2019,3.75,3.40,0.10,4
Nauru,2019,0.00,0.00,0.00,4
Netherlands (Kingdom of the),2019,2.39,1.60,0.30,4
New Caledonia,2019,0.00,0.00,0.00,4
New Zealand,2019,2.70,0.00,0.00,4
Norway,2019,3.53,1.50,0.10,4
Oman,2019,2.41,0.00,0.00,4
Palau,2019,0.00,0.00,0.00,4
Panama,2019,4.13,39.40,1.70,4
Poland,2019,3.25,10.40,4.00,4
Portugal,2019,2.85,13.10,1.40,4
Puerto Rico,2019,0.00,0.00,0.00,4
Qatar,2019,2.42,0.00,0.00,4
Republic of Korea,2019,4.90,9.20,4.80,4
Romania,2019,3.03,63.70,12.40,4
Russian Federation,2019,2.33,2.40,3.40,4
Saint Kitts and Nevis,2019,3.70,0.00,0.00,4
Saudi Arabia,2019,2.82,0.00,0.00,4
Seychelles,2019,3.46,36.30,0.10,4
Singapore,2019,2.99,0.00,0.00,4
Sint Maarten (Dutch part),2019,4.81,0.00,0.00,4
Slovakia,2019,2.68,15.30,0.80,4
Slovenia,2019,2.85,2.30,0.10,4
Spain,2019,2.70,10.20,4.80,4
Sweden,2019,2.91,3.50,0.40,4
Switzerland,2019,2.55,1.40,0.10,4
Trinidad and Tobago,2019,4.07,33.30,0.50,4
Turks and Caicos Islands,2019,2.97,0.00,0.00,4
United Arab Emirates,2019,2.55,2.10,0.20,4
United Kingdom of Great Britain and Northern Ireland,2019,1.83,3.50,2.30,4
United States of America,2019,2.20,4.20,14.20,4
Uruguay,2019,3.04,33.30,1.10,4
Afghanistan,2020,0.00,0.00,0.00,1
Burkina Faso,2020,2.82,59.70,12.80,1
Burundi,2020,3.29,88.10,10.80,1
Central African Republic,2020,3.12,86.10,4.60,1
Chad,2020,2.74,59.10,9.80,1
Democratic People's Republic of Korea,2020,0.00,0.00,0.00,1
Democratic Republic of the Congo,2020,3.30,93.10,86.50,1
Eritrea,2020,0.00,0.00,0.00,1
Ethiopia,2020,3.10,54.20,63.50,1
Gambia,2020,2.80,43.20,1.10,1
Guinea-Bissau,2020,3.20,62.60,1.30,1
Liberia,2020,3.37,69.90,3.60,1
Madagascar,2020,3.23,93.80,26.50,1
Malawi,2020,2.84,88.50,17.10,1
Mali,2020,3.02,53.00,11.30,1
Mozambique,2020,2.97,88.60,27.60,1
Niger,2020,3.28,84.70,20.60,1
Rwanda,2020,3.20,78.00,10.30,1
Sierra Leone,2020,2.74,60.50,5.00,1
Somalia,2020,0.00,0.00,0.00,1
South Sudan,2020,0.00,0.00,0.00,1
Sudan,2020,2.82,56.30,25.00,1
Syrian Arab Republic,2020,0.00,0.00,0.00,1
Togo,2020,2.59,52.00,4.40,1
Uganda,2020,3.03,72.00,32.00,1
Yemen,2020,0.00,0.00,0.00,1
Angola,2020,3.65,70.10,23.40,2
Bangladesh,2020,3.22,55.80,93.40,2
Benin,2020,2.97,61.60,7.80,2
Bhutan,2020,4.66,17.40,0.10,2
Bolivia (Plurinational State of),2020,3.70,10.80,1.30,2
Cabo Verde,2020,3.40,35.50,0.20,2
Cambodia,2020,4.00,0.00,0.00,2
Cameroon,2020,2.77,53.70,14.20,2
Comoros,2020,0.00,0.00,0.00,2
Congo,2020,3.09,77.70,4.40,2
Côte d'Ivoire,2020,2.71,48.90,13.10,2
Djibouti,2020,3.10,53.40,0.60,2
Egypt,2020,3.73,44.90,48.30,2
Eswatini,2020,3.34,67.50,0.80,2
Ghana,2020,3.70,63.60,20.50,2
Guinea,2020,2.56,35.80,4.70,2
Haiti,2020,4.49,81.50,9.20,2
Honduras,2020,3.77,43.40,4.40,2
India,2020,3.01,61.20,854.90,2
Jordan,2020,3.12,14.40,1.60,2
Kenya,2020,2.91,77.00,40.00,2
Kiribati,2020,0.00,0.00,0.00,2
Kyrgyzstan,2020,3.46,41.00,2.60,2
Lao People's Democratic Republic,2020,4.17,58.70,4.30,2
Lebanon,2020,2.97,0.10,0.10,2
Lesotho,2020,3.98,75.90,1.70,2
Mauritania,2020,3.99,52.10,2.30,2
Micronesia (Federated States of),2020,0.00,0.00,0.00,2
Morocco,2020,2.69,13.80,5.10,2
Myanmar,2020,3.94,50.10,26.70,2
Nepal,2020,3.52,44.70,13.10,2
Nicaragua,2020,3.84,30.60,2.10,2
Nigeria,2020,3.24,78.00,162.50,2
